Acelerometroy;Acelerometroz;Giroscopiox;Giroscopioy;Giroscopioz;Magnetometrox;Magnetometroy;Magnetometroz;Actividades
19517958;0.88532263;-0.12186762;21774292;15357152;18.3;-44.16;8639999;Downstairs
13933616;11577295;-0.053145275;-1751656;12541064;17279999;-44.16;9179999;Downstairs
7709117;-12666923;-0.59650993;-34718525;11765264;16.5;-44399998;9.36;Downstairs
57886477;-0.7354988;-0.8677341;-29837713;0.89369583;15.9;-44.52;9.36;Downstairs
39635212;0.5992953;-0.5412266;-26627617;0.3286455;15;-44.7;9.24;Downstairs
41814466;0.8308412;-0.48624873;-19947804;-0.14752395;13.98;-44.76;9.12;Downstairs
38273177;0.8036005;-0.51007247;-0.8530733;-0.41508293;13559999;-45;8.88;Downstairs
20158114;0.626536;-0.4025602;0.28802297;-0.49296826;12.78;-45.3;85199995;Downstairs
3336985;20566726;-0.36865717;0.95569867;-0.6178902;12.3;-45.66;8.04;Downstairs
743671;26832085;-0.3387248;11157454;-0.6640105;12.3;-45.84;7.56;Downstairs
18632635;0.5720546;-0.44409904;0.9224065;-0.44959682;12.48;-46.2;68999996;Downstairs
19504337;73141265;-0.301462;0.5021312;12776246;12.78;-46.02;6.24;Downstairs
19517958;10051817;0.78801614;11615603;0.7852673;12.84;-46.14;6;Downstairs
18864182;9575105;1344209;24242187;0.3475823;130199995;-46.2;6;Downstairs
11672638;17706453;0.43799037;27363708;-0.31978795;13.08;-46.44;6.06;Downstairs
78317;-0.13620348;-0.3549127;19657644;-0.6206391;13139999;-46559998;6.06;Downstairs
53527966;0.35412905;-0.77549344;10763446;-0.61269784;12.9;-46559998;62999997;Downstairs
43176503;0.7627395;-0.83658;0.5852089;-0.41996986;12.9;-46.62;6.24;Downstairs
10896279;15390993;-0.70463306;0.4990769;-0.25442538;12.78;-46.62;6.24;Downstairs
-23426998;20975335;-0.63529986;0.8772025;-0.28802297;12.48;-46379997;6.18;Downstairs
-31871614;0.84446156;-0.7480045;15070046;-0.29718593;12.36;-46.26;6.18;Downstairs
-33233647;-17297841;-0.98746365;16331482;0.12614368;12.24;-46.32;6.12;Downstairs
-0.53119355;-34595683;-11178834;13857478;0.5366451;12.24;-46.14;57599998;Downstairs
14437568;-29283748;-0.9434814;10320568;0.86926126;12179999;-45899998;5.46;Downstairs
7681876;-22201166;-0.5833763;0.33444872;0.9764681;12.24;-45.84;4.92;Downstairs
15731502;-35276701;-0.20433442;-0.3924809;0.84665924;12;-45.78;4.2;Downstairs
1609925;-2819412;-0.15882497;-0.68019843;0.91629785;11.94;-45899998;4.08;Downstairs
19095728;-27649305;0.12767084;-0.7467828;15338826;11.46;-46.26;3.6;Downstairs
15241169;-0.12258313;-0.010690142;-0.95447695;19278907;10.8;-46.5;3.36;Downstairs
10882658;2383561;-0.008857546;-16572775;13634512;9.9;-46.86;3.06;Downstairs
9697687;35412905;0.029626964;-21551325;0.68569624;9.3;-46.98;26399999;Downstairs
9697687;35412905;0.029626964;-21551325;0.68569624;9.3;-46.98;26399999;Downstairs
45628166;4385752;-0.07574729;-0.8008443;-0.19883664;73799996;-47.7;21599998;Downstairs
2315459;42495484;0.10354166;0.67256266;-0.5448918;6.6;-47879997;2.04;Downstairs
5407278;3486809;0.3203988;17889189;-0.8897252;6.18;-48239998;1.8;Downstairs
17570248;0.95342433;0.49449542;24807239;-0.68294734;5.58;-48.3;1.74;Downstairs
19408995;0.9942854;0.2941316;28615983;-0.12767084;5.52;-48.12;1.8;Downstairs
19517958;39362805;0.53969944;17122552;0.7275405;5.52;-48.12;1.74;Downstairs
17978859;587037;0.7348709;0.5143485;0.7464773;58799996;-48.18;19799999;Downstairs
13606728;42904096;0.8567385;0.00702495;0.5012149;6.18;-48.3;2.58;Downstairs
11795221;2465283;0.44806966;-0.08246681;0.093462385;6.24;-48.18;3.12;Downstairs
8131348;28602731;0.14508049;0.35888332;-0.3472769;62999997;-48.18;34199998;Downstairs
44810944;36502533;0.21166481;0.90102625;-0.453262;6.18;-48.18;38999999;Downstairs
15527196;33097446;0.3036;12055426;-0.4251622;6.18;-48239998;43199997;Downstairs
-10896279;22882185;0.02107485;1568702;-0.5137377;5.94;-48.36;4.68;Downstairs
-24789033;0.43585113;-0.49602258;23335052;-0.43890667;58799996;-48239998;5.1;Downstairs
-23426998;-0.54481393;-0.7330383;27605;-0.23579398;58799996;-48.3;53399997;Downstairs
-11441092;-21247742;-0.91813046;31569517;0.013744468;5.64;-48239998;5.4;Downstairs
15390993;-2465283;-10192287;32754595;0.24465153;5.7;-48059998;5.04;Downstairs
4235928;-28057916;-11307116;28640418;0.38331795;57599998;-48;4.56;Downstairs
8036005;-34323275;-11462886;19156734;0.47433686;5.7;-48.12;4.56;Downstairs
17515768;-52574544;-0.9984592;0.93584555;0.7959574;5.7;-48059998;4.14;Downstairs
18632635;-27104492;-0.9300423;0.5525276;0.82619524;5.52;-47.94;3.6;Downstairs
19300034;-196133;-0.3885103;0.24556783;0.8378017;53399997;-47.82;3.3;Downstairs
19477097;-13484144;-0.020463986;-0.01985312;10106765;52799997;-47.94;2.82;Downstairs
126669235;20294318;0.13316862;-0.61911196;0.7150178;4.5;-48;1.92;Downstairs
114410925;23563201;0.15424347;-15653422;0.537256;4.14;-48;1.68;Downstairs
1059663;29556155;0.010690142;-22586741;0.44501534;36599998;-47.94;1.26;Downstairs
9112013;3636633;-0.021380283;-23790147;0.35521814;3.48;-48;0.96;Downstairs
9112013;3636633;0.24465153;-12538009;-0.269697;3.48;-48;0.96;Downstairs
77363577;26423476;0.45937067;-0.31856623;-0.5934556;3;-48.3;0.84;Downstairs
10705593;15799603;0.38515055;0.70005155;-0.90194255;2.7;-48.18;0.53999996;Downstairs
10705593;15799603;0.2452624;18017471;-0.86559606;2.7;-48.18;0.53999996;Downstairs
1487342;22473574;0.32895094;22996023;-0.6417139;2.28;-48.12;0.59999996;Downstairs
19218311;14301366;0.26145032;19422461;0.17256944;2.28;-48.3;0.84;Downstairs
19477097;25333846;0.1572978;17611245;0.35094208;2.22;-48239998;0.9;Downstairs
15418234;313268;0.5858198;0.8857546;0.4541783;1.92;-48.3;10799999;Downstairs
12353656;18387469;0.6017023;0.57543504;0.40653083;1.8;-48.42;1.26;Downstairs
10514909;13756552;-0.043676864;-0.29718593;0.124005646;1.74;-48.42;1.56;Downstairs
